,0,1,2,3,4
13109,"""DW Bistro""","""Lucky's Café""","""Makai Pacific Island Grill""","""The Hummus Factory""","""Eiffel Tower"""
13110,"""Angelo's Pizza""","""L'Atelier de Joël Robuchon""","""Dumpling House Restaurant""","""Pizza Brutta""","""Frost Gelato"""
13111,"""Deagan's Kitchen & Bar""","""The Citizen""","""Blue Adobe Grille""","""Kaiju""","""Poke Guys"""
13112,"""Thai Elephant""","""Dumpling House Restaurant""","""FnB""","""Adamson Barbecue""","""Blaze Fast-Fire'd Pizza"""
13113,"""Angelo's Pizza""","""Cactus Club Cafe""","""Craft Tasting Room & Growler Shop""","""Firefly""","""Naked Fish's Sushi & Grill"""
13114,"""Pastel Creperies & Dessert House""","""Nobuo At Teeter House""","""Au Pain Doré""","""Cartel Coffee Lab""","""Lola Coffee"""
13115,"""Deagan's Kitchen & Bar""","""Burrito Boyz""","""Cibo""","""Yupha's Thai Kitchen""","""Postino Arcadia"""
13116,"""Lola Coffee""","""Liberty Market""","""Hobak Korean BBQ""","""Frost Gelato""","""Bobby's Burger Palace"""
13117,"""Yummy Grill & Sushi""","""Butterfield's Pancake House""","""Soho Japanese Restaurant""","""FIKA""","""Izakaya Go"""
13118,"""Cactus Club Cafe""","""Naked Fish's Sushi & Grill""","""The Fry Bread House""","""Lucky's Café""","""Firefly"""
13119,"""Hash Kitchen""","""Pisces Sushi Bar & Lounge""","""Tacos & Beer""","""The Habit Burger Grill""","""Javier's"""
13120,"""The Fry Bread House""","""Chon Thai Food""","""Cactus Club Cafe""","""Lucky's Café""","""Firefly"""
13121,"""Monty's Blue Plate Diner""","""Burrito Boyz""","""Ni Ji Sushi""","""L'Atelier de Joël Robuchon""","""Soho Japanese Restaurant"""
13122,"""Postino Arcadia""","""Nobuo At Teeter House""","""Lucky's Café""","""Angelo's Pizza""","""Beckett's Table"""
13123,"""Grand Lux Cafe""","""Raising Cane's""","""Makai Pacific Island Grill""","""Omelet House""","""Eiffel Tower"""
13124,"""Guy Fieri's Vegas Kitchen & Bar""","""Liberty Market""","""Blue Adobe Grille""","""Postino Arcadia""","""Cibo"""
13125,"""Postino Arcadia""","""Guy Fieri's Vegas Kitchen & Bar""","""BARDOT Brasserie""","""Joyride Taco House""","""Sushi Station"""
13126,"""Modern Round""","""Sushi Kaji Restaurant""","""Postino Arcadia""","""Pita Jungle""","""Angelo's Pizza"""
13127,"""The Herb Box""","""Blaze Fast-Fire'd Pizza""","""Cartel Coffee Lab""","""Liberty Market""","""George's Kitchen"""
13128,"""Giant Hamburgers""","""Le Robin Square""","""Hobak Korean BBQ""","""Île Flottante""","""Island Sushi & Grill"""
13129,"""FnB""","""Tommy's Restaurant""","""Cibo""","""Eiffel Tower""","""DW Bistro"""
13130,"""Yupha's Thai Kitchen""","""L'Atelier de Joël Robuchon""","""Paymon's Mediterranean Cafe & Lounge""","""Guy Fieri's Vegas Kitchen & Bar""","""Cibo"""
13131,"""Yupha's Thai Kitchen""","""East Ocean Dim Sum & Seafood Restaurant""","""Giant Hamburgers""","""Joe's New York Pizza""","""Craft 64"""
13132,"""Ocotillo""","""Cartel Coffee Lab""","""Beckett's Table""","""Orange Sky""","""Salt Cellar"""
13133,"""Yupha's Thai Kitchen""","""Big Bone BBQ & Wicked Wings""","""Firefly""","""Wendigo""","""Naples 15"""
13134,"""Pinches Tacos""","""Hobak Korean BBQ""","""Graze""","""Fukuburger Truck""","""Postino Arcadia"""
13135,"""Firefly""","""Cactus Club Cafe""","""Salt Cellar""","""DW Bistro""","""Adamson Barbecue"""
13136,"""Dumpling House Restaurant""","""Le Robin Square""","""The Shore Club - Toronto""","""Salad King Restaurant""","""Island Sushi & Grill"""
13137,"""Island Sushi & Grill""","""Fat Heads Brewery and Saloon""","""Postino Arcadia""","""Lucky's Café""","""Barrio"""
13138,"""Summer's Ice Cream""","""Nobuo At Teeter House""","""Due Forni""","""Blaze Fast-Fire'd Pizza""","""Soho Japanese Restaurant"""
13139,"""Island Sushi & Grill""","""Dumpling House Restaurant""","""Pastel Creperies & Dessert House""","""Kai""","""Wildflower Bread Company"""
13140,"""Rolling in Dough Cafe""","""Summer's Ice Cream""","""Blaze Fast-Fire'd Pizza""","""Spago by Wolfgang Puck""","""BARDOT Brasserie"""
13141,"""Bannock""","""AMC Dine-in Theatres Esplanade 14""","""Electric Mud BBQ""","""Presti's Bakery""","""The Herb Box"""
13142,"""Le Robin Square""","""Joe Beef""","""The Harbord Room""","""Cibo""","""Hash Kitchen"""
13143,"""Barrio""","""DW Bistro""","""Lucky's Café""","""The Barrymore""","""Futo Buta"""
13144,"""Joe's Midnight Run""","""Burrito Boyz""","""Firefly""","""Three Little Pigs Sandwiches""","""Ocotillo"""
13145,"""Veggie Village""","""Adamson Barbecue""","""Blueberry Hill Family Restaurant ""","""Momofuku Daish?""","""Firefly"""
13146,"""Danny Boy's Pizza""","""Burrito Boyz""","""Yupha's Thai Kitchen""","""Butterfield's Pancake House""","""Ni Ji Sushi"""
13147,"""Pho Saigon 8""","""Makai Pacific Island Grill""","""Javier's""","""Soho Japanese Restaurant""","""Raising Cane's"""
13148,"""Chon Thai Food""","""Rolling in Dough Cafe""","""Umiya Sushi""","""Thai House At Tower Place""","""Hash Kitchen"""
13149,"""Cafe Breizh""","""The Herb Box""","""Liberty Market""","""Soho Japanese Restaurant""","""Due Forni"""
13150,"""Eiffel Tower""","""Javier's""","""The Fry Bread House""","""Chon Thai Food""","""Mi Peru South American Grill"""
13151,"""Rolling in Dough Cafe""","""Sidecar""","""L'Atelier de Joël Robuchon""","""Blaze Fast-Fire'd Pizza""","""Cibo"""
13152,"""Nobuo At Teeter House""","""Poke Guys""","""Fat Heads Brewery and Saloon""","""BARDOT Brasserie""","""Sidecar"""
13153,"""Swensons Drive-In""","""Burrito Boyz""","""Chompie's Deli""","""Lucky's Café""","""Tori's Bakeshop"""
13154,"""Bannock""","""Soho Japanese Restaurant""","""DB Brasserie""","""Cactus Club Cafe""","""Yama Sushi"""
13155,"""L'Atelier de Joël Robuchon""","""Pastel Creperies & Dessert House""","""Cibo""","""Soho Japanese Restaurant""","""Burrito Boyz"""
13156,"""Lucky's Café""","""Angelo's Pizza""","""Presti's Bakery""","""Fat Heads Brewery and Saloon""","""Barrio"""
13157,"""Thirsty Lion Gastropub & Grill""","""Kaiju""","""Nee House Chinese Restaurant""","""Umiya Sushi""","""China Magic Noodle House"""
13158,"""Rolling in Dough Cafe""","""The Hummus Factory""","""Spago by Wolfgang Puck""","""Soho Japanese Restaurant""","""Other Mama"""
13159,"""Frost Gelato""","""Tommy's Restaurant""","""Presti's Bakery""","""Chompie's Deli""","""Liberty Market"""
13160,"""Giuseppe's Italian Grille""","""DB Brasserie""","""Island Sushi & Grill""","""Fat Ox""","""Barrio Queen"""
13161,"""Taquerias El Chino""","""Spago by Wolfgang Puck""","""Dumpling House Restaurant""","""Soho Japanese Restaurant""","""Blaze Fast-Fire'd Pizza"""
13162,"""Tori's Bakeshop""","""Thai Elephant""","""Nobuo At Teeter House""","""Dumpling House Restaurant""","""Blaze Fast-Fire'd Pizza"""
13163,"""Frost Gelato""","""Downtown Terrace""","""Barrio""","""Lucky's Café""","""Pizza Brutta"""
13164,"""M&M Soul Food Cafe""","""Frost Gelato""","""Buon Gusto Ristorante""","""Le Robin Square""","""Soho Japanese Restaurant"""
13165,"""Umiya Sushi""","""Tacos & Beer""","""Lucky's Café""","""Chon Thai Food""","""Soho Japanese Restaurant"""
13166,"""Ta'Carbon""","""Chompie's Deli""","""FnB""","""Angelo's Pizza""","""Guy Fieri's Vegas Kitchen & Bar"""
13167,"""Guy Fieri's Vegas Kitchen & Bar""","""Sidecar""","""Kodo Sushi Sake""","""Ahipoki Bowl""","""BARDOT Brasserie"""
13168,"""Futo Buta""","""Umiya Sushi""","""TJ's Pizza & Wings""","""Joyride Taco House""","""Sushi Station"""
13169,"""Ahipoki Bowl""","""Pizza Brutta""","""Cheba Hut""","""Fat Heads Brewery and Saloon""","""Frost Gelato"""
13170,"""Ahipoki Bowl""","""DW Bistro""","""Le Robin Square""","""Island Sushi & Grill""","""Liberty Market"""
13171,"""Mert's Heart & Soul""","""Adamson Barbecue""","""Big Dog's Draft House""","""Paymon's Mediterranean Cafe & Lounge""","""Firefly"""
13172,"""Earls Kitchen + Bar""","""Joe Beef""","""Guy Fieri's Vegas Kitchen & Bar""","""Deagan's Kitchen & Bar""","""Cibo"""
13173,"""Cibo""","""DW Bistro""","""Naked Fish's Sushi & Grill""","""Foundation Room""","""Eiffel Tower"""
13174,"""The Fry Bread House""","""Spago by Wolfgang Puck""","""Nobuo At Teeter House""","""Guy Fieri's Vegas Kitchen & Bar""","""Ahipoki Bowl"""
13175,"""Postino Arcadia""","""Deagan's Kitchen & Bar""","""Cibo""","""Liberty Market""","""Beckett's Table"""
13176,"""Frost Gelato""","""Tommy's Restaurant""","""N9NE Steakhouse""","""Eiffel Tower""","""Bosa Donuts"""
13177,"""Graze""","""Angelo's Pizza""","""Butterfield's Pancake House""","""Joyride Taco House""","""Postino Arcadia"""
13178,"""Cafe Breizh""","""The Fry Bread House""","""Musashi Japanese Steakhouse""","""Cartel Coffee Lab""","""Barrio Queen"""
13179,"""Tacos & Beer""","""Butterfield's Pancake House""","""Postino Arcadia""","""Ku Noodle by José Andrés""","""Blaze Fast-Fire'd Pizza"""
13180,"""Bannock""","""Angelo's Pizza""","""Poke Guys""","""Postino Arcadia""","""Blaze Fast-Fire'd Pizza"""
13181,"""Kodo Sushi Sake""","""Blue Ginger Asian Bistro""","""Ku Noodle by José Andrés""","""Postino Arcadia""","""Cartel Coffee Lab"""
13182,"""Deagan's Kitchen & Bar""","""Soho Japanese Restaurant""","""Rosallie""","""Pita House""","""Cibo"""
13183,"""Andre's""","""Firefly""","""Eiffel Tower""","""Javier's""","""Naked Fish's Sushi & Grill"""
13184,"""Blue Martini Lounge""","""Other Mama""","""Javier's""","""Mizumi""","""Firefly"""
13185,"""Dumpling House Restaurant""","""Marco's Italian Bistro""","""Umiya Sushi""","""Andre's""","""Craft 64"""
13186,"""Liberty Market""","""FnB""","""Beckett's Table""","""Cartel Coffee Lab""","""Pita Jungle"""
13187,"""Tacos & Beer""","""Le Robin Square""","""Pinches Tacos""","""Firefly""","""Hobak Korean BBQ"""
13188,"""Naked Fish's Sushi & Grill""","""Broadway Pizzeria""","""Rolling in Dough Cafe""","""The Hummus Factory""","""Javier's"""
13189,"""Malabar""","""Lucky's Café""","""Barrio""","""Shawarma Brothers""","""Futo Buta"""
13190,"""Cartel Coffee Lab""","""Cibo""","""Lola Coffee""","""Curry Twist Restaurant""","""Liberty Market"""
13191,"""Hobak Korean BBQ""","""Lucky's Café""","""Yupha's Thai Kitchen""","""Chon Thai Food""","""Liberty Market"""
13192,"""Presti's Bakery""","""Cibo""","""Lucky's Café""","""Blue Adobe Grille""","""Deagan's Kitchen & Bar"""
13193,"""Petite Maison""","""Ohana Hawaiian BBQ""","""Blaze Fast-Fire'd Pizza""","""Burrito Boyz""","""Kaiju"""
13194,"""Songbird Coffee & Tea House""","""Lola Coffee""","""Salad King Restaurant""","""Rolling in Dough Cafe""","""Soho Japanese Restaurant"""
13195,"""Veggie Village""","""Boba Hut""","""Sammy's Woodfired Pizza and Grill""","""Pisces Sushi Bar & Lounge""","""Don Tortaco"""
13196,"""Andre's""","""Bannock""","""Island Sushi & Grill""","""Mi Peru South American Grill""","""The Wrigley Mansion Club"""
13197,"""Joe Beef""","""Dumpling House Restaurant""","""Pita Jungle""","""Tandoori Times Indian Bistro""","""La Purisima Bakery"""
13198,"""Liberty Market""","""Sushi Catcher""","""Barrio""","""Republic Ramen + Noodles""","""OHSO Brewery - Paradise Valley"""
13199,"""Due Forni""","""The Herb Box""","""L'Atelier de Joël Robuchon""","""Sushi Kaji Restaurant""","""Chilli Chicken House"""
13200,"""Grand Lux Cafe""","""Le Robin Square""","""China Magic Noodle House""","""Island Sushi & Grill""","""Yanni's Gyros"""
13201,"""Makai Pacific Island Grill""","""Due Forni""","""Fukuburger Truck""","""Guy Savoy""","""Pizza Brutta"""
13202,"""School Restaurant""","""Lola Coffee""","""Frost Gelato""","""Liberty Market""","""Salt Cellar"""
13203,"""Sunrise House""","""Butterfield's Pancake House""","""Bannock""","""Soho Japanese Restaurant""","""Postino Arcadia"""
13204,"""Liberty Market""","""Kai""","""Izakaya Go""","""Cibo""","""Lil' Baci"""
13205,"""Pisces Sushi Bar & Lounge""","""In-N-Out Burger""","""Butterfield's Pancake House""","""Delices Gourmands French Bakery""","""Tacos & Beer"""
13206,"""Yummy Grill & Sushi""","""Electric Mud BBQ""","""Izakaya Go""","""DW Bistro""","""Cibo"""
13207,"""Le Robin Square""","""Thirsty Lion Gastropub & Grill""","""Pinches Tacos""","""Butterfield's Pancake House""","""Postino Arcadia"""
13208,"""FIKA""","""Umiya Sushi""","""Dumpling House Restaurant""","""Rani's World Foods""","""Lucky's Café"""
13209,"""Cheese N Stuff Deli""","""Pei Wei""","""Craft 64""","""Yupha's Thai Kitchen""","""Amazing Thai Restaurant"""
13210,"""Momofuku Daish?""","""Firefly""","""Sausalido""","""Deagan's Kitchen & Bar""","""Fat Heads Brewery and Saloon"""
13211,"""Soho Japanese Restaurant""","""Locale""","""Petite Maison""","""Postino Arcadia""","""Blaze Fast-Fire'd Pizza"""
13212,"""Adamson Barbecue""","""Cactus Club Cafe""","""Stacks & Yolks""","""Kaiju""","""Firefly"""
13213,"""Burrito Boyz""","""Pastel Creperies & Dessert House""","""Izakaya Go""","""Toqué""","""Bar Fancy"""
13214,"""Yupha's Thai Kitchen""","""Sushi Kaji Restaurant""","""Ni Ji Sushi""","""Blaze Fast-Fire'd Pizza""","""Angelo's Pizza"""
13215,"""Futo Buta""","""Bragg's Factory Diner""","""Sunrise House""","""Thirsty Lion Gastropub & Grill""","""Postino Arcadia"""
13216,"""Chicago Gyros""","""Summer's Ice Cream""","""Yupha's Thai Kitchen""","""Sushi Station""","""WTPho"""
13217,"""Grand Lux Cafe""","""FnB""","""Chicago Gyros""","""Adamson Barbecue""","""Ocotillo"""
13218,"""Salt Cellar""","""Kaiju""","""Susie's Mexican Cafe""","""Yama Sushi""","""Blaze Fast-Fire'd Pizza"""
13219,"""Grand Lux Cafe""","""FIKA""","""El Caballito""","""Barrio""","""DW Bistro"""
13220,"""Other Mama""","""Sushi Kaji Restaurant""","""Butterfield's Pancake House""","""Tommy's Restaurant""","""Soho Japanese Restaurant"""
13221,"""Island Sushi & Grill""","""BARDOT Brasserie""","""BLT Burger""","""Andre's""","""Javier's"""
13222,"""The Herb Box""","""Blaze Fast-Fire'd Pizza""","""Liberty Market""","""Pita Jungle""","""FnB"""
13223,"""Yummy Grill & Sushi""","""Tacos & Beer""","""Hobak Korean BBQ""","""Postino Arcadia""","""Butterfield's Pancake House"""
13224,"""Sidecar""","""Fat Heads Brewery and Saloon""","""Chon Thai Food""","""Lucky's Café""","""Hash Kitchen"""
13225,"""La Tolteca Mexican Foods""","""FnB""","""Richardson's""","""Cibo""","""Pita Jungle"""
13226,"""Hobak Korean BBQ""","""Eiffel Tower""","""Paymon's Mediterranean Cafe & Lounge""","""Big Dog's Draft House""","""Naked Fish's Sushi & Grill"""
13227,"""Blaze Fast-Fire'd Pizza""","""Joyride Taco House""","""Guy Fieri's Vegas Kitchen & Bar""","""The County General""","""DW Bistro"""
13228,"""Naked Fish's Sushi & Grill""","""Andre's""","""Fat Heads Brewery and Saloon""","""Firefly""","""Javier's"""
13229,"""Liberty Market""","""Amazing Thai Restaurant""","""Viet Bistro""","""Beckett's Table""","""Due Forni"""
13230,"""Liberty Market""","""Blue Adobe Grille""","""China Magic Noodle House""","""Ahipoki Bowl""","""Joyride Taco House"""
13231,"""Barrio Queen""","""Dumpling House Restaurant""","""China Mama Restaurant""","""Blaze Fast-Fire'd Pizza""","""Adamson Barbecue"""
13232,"""Fukuburger Truck""","""Hoosier Cafe""","""Downtown Terrace""","""Butterfield's Pancake House""","""Hobak Korean BBQ"""
13233,"""Ni Ji Sushi""","""Tups Specialty Sandwiches""","""Sammy's Woodfired Pizza and Grill""","""Butterfield's Pancake House""","""Tacos & Beer"""
13234,"""Deagan's Kitchen & Bar""","""Kaiju""","""Federick""","""Bannock""","""Burrito Boyz"""
13235,"""Salt Cellar""","""Ni Ji Sushi""","""Le Robin Square""","""Orange Sky""","""Island Sushi & Grill"""
13236,"""Petite Maison""","""The Fry Bread House""","""Javier's""","""Eiffel Tower""","""China Magic Noodle House"""
13237,"""Poke Guys""","""Soho Japanese Restaurant""","""Hudson Kitchen""","""Applebee's Neighborhood Grill & Bar""","""Postino Arcadia"""
13238,"""Island Sushi & Grill""","""Liberty Market""","""China Magic Noodle House""","""DW Bistro""","""Soho Japanese Restaurant"""
13239,"""Le Robin Square""","""Lucky's Café""","""The Barrymore""","""Fat Heads Brewery and Saloon""","""Burrito Boyz"""
13240,"""Due Forni""","""Cibo""","""Cartel Coffee Lab""","""The Herb Box""","""Blaze Fast-Fire'd Pizza"""
13241,"""Chompie's Deli""","""Frost Gelato""","""Due Forni""","""Tommy's Restaurant""","""Soho Japanese Restaurant"""
13242,"""California Sandwiches""","""Butterfield's Pancake House""","""Yamato Japanese Restaurant""","""Yummy Grill & Sushi""","""Zucca Trattoria"""
13243,"""Fukuburger Truck""","""Butterfield's Pancake House""","""Soho Japanese Restaurant""","""Ahipoki Bowl""","""Frost Gelato"""
13244,"""Butterfield's Pancake House""","""Archi's Thai Cafe""","""Fukuburger Truck""","""Yama Sushi""","""Other Mama"""
13245,"""The Barrymore""","""McCormick & Schmick's Seafood & Steaks""","""Jardin""","""Tacos & Beer""","""Firefly"""
13246,"""Songbird Coffee & Tea House""","""Cheba Hut""","""The Uprooted Kitchen""","""Republic Ramen + Noodles""","""Lucky's Café"""
13247,"""Jersey Mike's Subs""","""24 Carrots Juice Bar & Cafe""","""Ventano Italian Grill & Seafood""","""N9NE Steakhouse""","""Angelo's Pizza"""
13248,"""Big Smoke Burger""","""Poke Guys""","""Adamson Barbecue""","""Burrito Boyz""","""Kaiju"""
13249,"""Pisces Sushi Bar & Lounge""","""Hobak Korean BBQ""","""The Barrymore""","""Lucky's Café""","""Makai Pacific Island Grill"""
13250,"""Olive Tree Market & Grill""","""Cibo""","""Sushi Catcher""","""FnB""","""Liberty Market"""
13251,"""Naked Fish's Sushi & Grill""","""Firefly""","""Izakaya Go""","""Butterfield's Pancake House""","""Yummy Grill & Sushi"""
13252,"""Poke Guys""","""The Shore Club - Toronto""","""Le Robin Square""","""Burrito Boyz""","""Island Sushi & Grill"""
13253,"""Bannock""","""Kona Grill""","""Cibo""","""Sushi Catcher""","""Liberty Market"""
13254,"""Cibo""","""Postino Arcadia""","""Cartel Coffee Lab""","""Beckett's Table""","""Blaze Fast-Fire'd Pizza"""
13255,"""Pa Pa Chang's""","""Cactus Club Cafe""","""Hugo's Cellar""","""Soho Japanese Restaurant""","""The Carbon Bar"""
13256,"""Viet Bistro""","""Lucky's Café""","""Pinches Tacos""","""Chon Thai Food""","""Hash Kitchen"""
13257,"""Wonder Bar Steakhouse""","""Sushi Station""","""Dumpling House Restaurant""","""The Fry Bread House""","""China Magic Noodle House"""
13258,"""Ike's Love & Sandwiches""","""Nobuo At Teeter House""","""The Herb Box""","""Fat Heads Brewery and Saloon""","""Blaze Fast-Fire'd Pizza"""
13259,"""Beckett's Table""","""Joe Beef""","""Deagan's Kitchen & Bar""","""Guy Fieri's Vegas Kitchen & Bar""","""Cibo"""
13260,"""Grand Lux Cafe""","""Angelo's Pizza""","""Jersey Mike's Subs""","""Sushi Station""","""OHSO Brewery - Paradise Valley"""
13261,"""Firefly""","""Blaze Fast-Fire'd Pizza""","""Petite Maison""","""China Magic Noodle House""","""Dumpling House Restaurant"""
13262,"""The Barrymore""","""Butterfield's Pancake House""","""Yummy Grill & Sushi""","""DW Bistro""","""Yupha's Thai Kitchen"""
13263,"""Javier's""","""Hugo's Cellar""","""Soho Japanese Restaurant""","""Hobak Korean BBQ""","""Rolling in Dough Cafe"""
13264,"""Hobak Korean BBQ""","""Lucky's Café""","""Bobby's Burger Palace""","""Eiffel Tower""","""Lahore Tikka House"""
13265,"""Blaze Fast-Fire'd Pizza""","""Poke Guys""","""Cibo""","""Freshbox McDowell Mountain""","""Bobby's Burger Palace"""
13266,"""Vivace""","""The Habit Burger Grill""","""M&M Soul Food Cafe""","""Hash Kitchen""","""Firefly"""
13267,"""Cartel Coffee Lab""","""Izakaya Go""","""Gyu-Kaku Japanese BBQ""","""Cibo""","""Blaze Fast-Fire'd Pizza"""
13268,"""Kodo Sushi Sake""","""Pastel Creperies & Dessert House""","""Lahore Tikka House""","""Bragg's Factory Diner""","""Bobby's Burger Palace"""
13269,"""Pita Jungle""","""Cartel Coffee Lab""","""Sorso Wine Room""","""Liberty Market""","""Beckett's Table"""
13270,"""Makai Pacific Island Grill""","""Soho Japanese Restaurant""","""Eiffel Tower""","""Lee's Sandwiches""","""DW Bistro"""
13271,"""Blaze Fast-Fire'd Pizza""","""Soho Japanese Restaurant""","""Buon Gusto Ristorante""","""Postino Arcadia""","""Sushi Kaji Restaurant"""
13272,"""School Restaurant""","""Kona Grill""","""DW Bistro""","""Presti's Bakery""","""N9NE Steakhouse"""
13273,"""Adamson Barbecue""","""DB Brasserie""","""Firefly""","""Rolling in Dough Cafe""","""Grand Lux Cafe"""
13274,"""Blaze Fast-Fire'd Pizza""","""Mad House Coffee""","""DB Brasserie""","""Adamson Barbecue""","""Yama Sushi"""
13275,"""Z'Tejas""","""Hobak Korean BBQ""","""Cibo""","""Lola Coffee""","""Salt Cellar"""
13276,"""L'Atelier de Joël Robuchon""","""Soho Japanese Restaurant""","""La Scala""","""Postino Arcadia""","""Javier's"""
13277,"""Paymon's Mediterranean Cafe & Lounge""","""Tommy's Restaurant""","""Cibo""","""FnB""","""L'Atelier de Joël Robuchon"""
13278,"""Other Mama""","""Yummy Grill & Sushi""","""Hobak Korean BBQ""","""Butterfield's Pancake House""","""Tacos & Beer"""
13279,"""Ahipoki Bowl""","""Craft 64""","""FnB""","""Liberty Market""","""Sushi Catcher"""
13280,"""Javier's""","""Firefly""","""Cactus Club Cafe""","""Capriotti's Sandwich Shop""","""Grand Lux Cafe"""
13281,"""Monti's La Casa Vieja""","""Liberty Market""","""Raising Cane's""","""Hobak Korean BBQ""","""Le Robin Square"""
13282,"""Postino Arcadia""","""Bannock""","""Blaze Fast-Fire'd Pizza""","""Angelo's Pizza""","""School Restaurant"""
13283,"""Blaze Fast-Fire'd Pizza""","""FnB""","""Joe Beef""","""La Purisima Bakery""","""Pita Jungle"""
13284,"""Cibo""","""Gyu-Kaku Japanese BBQ""","""Frost Gelato""","""Liberty Market""","""Beckett's Table"""
13285,"""Eiffel Tower""","""Giant Hamburgers""","""Lee's Sandwiches""","""Island Sushi & Grill""","""DW Bistro"""
13286,"""Island Sushi & Grill""","""Electric Mud BBQ""","""BLT Burger""","""Fat Heads Brewery and Saloon""","""Bannock"""
13287,"""Cartel Coffee Lab""","""Lucky's Café""","""Dumpling House Restaurant""","""Blaze Fast-Fire'd Pizza""","""Tori's Bakeshop"""
13288,"""Raising Cane's""","""Graze""","""Guy Fieri's Vegas Kitchen & Bar""","""Joyride Taco House""","""Stacks & Yolks"""
13289,"""L & L Hawaiian Barbecue""","""Cactus Club Cafe""","""N9NE Steakhouse""","""Vivace""","""Lucky's Café"""
13290,"""Ventano Italian Grill & Seafood""","""Butterfield's Pancake House""","""Ocotillo""","""Hobak Korean BBQ""","""Grand Lux Cafe"""
13291,"""OHSO Brewery - Paradise Valley""","""U.S. Egg""","""Dumpling House Restaurant""","""Angelo's Pizza""","""Umiya Sushi"""
13292,"""Ocotillo""","""Chicago Gyros""","""Angelo's Pizza""","""Grand Lux Cafe""","""Joyride Taco House"""
13293,"""Sinatra""","""Tommy's Restaurant""","""Cibo""","""Hobak Korean BBQ""","""Big Buddha"""
13294,"""Pastel Creperies & Dessert House""","""Lucky's Café""","""Kaiju""","""Burrito Boyz""","""Cactus Club Cafe"""
13295,"""Lucky's Café""","""FnB""","""Eiffel Tower""","""Barrio""","""DW Bistro"""
13296,"""Blaze Fast-Fire'd Pizza""","""The Herb Box""","""Angelo's Pizza""","""SOLO Trattoria""","""Tommy V's Urban Kitchen & Bar"""
13297,"""Dumpling House Restaurant""","""Postino Arcadia""","""Angelo's Pizza""","""Adamson Barbecue""","""Pizza Brutta"""
13298,"""Deagan's Kitchen & Bar""","""Joseph Tambellini Restaurant""","""Chon Thai Food""","""M&M Soul Food Cafe""","""Hash Kitchen"""
13299,"""Adamson Barbecue""","""DW Bistro""","""Kaiju""","""Eiffel Tower""","""The Fry Bread House"""
13300,"""Kaleidoscope Juice""","""Soho Japanese Restaurant""","""Gyu-Kaku Japanese BBQ""","""Blaze Fast-Fire'd Pizza""","""Cibo"""
13301,"""Earls Kitchen + Bar""","""Salad King Restaurant""","""Burrito Boyz""","""Monty's Blue Plate Diner""","""L'Atelier de Joël Robuchon"""
13302,"""Archi's Thai Cafe""","""Butterfield's Pancake House""","""Due Forni""","""Fukuburger Truck""","""Other Mama"""
13303,"""Pastel Creperies & Dessert House""","""Burrito Boyz""","""Yupha's Thai Kitchen""","""Butterfield's Pancake House""","""Ni Ji Sushi"""
13304,"""Archi's Thai Cafe""","""Electric Mud BBQ""","""Yama Sushi""","""Yummy Grill & Sushi""","""Cactus Club Cafe"""
13305,"""Ahipoki Bowl""","""Le Robin Square""","""The Wrigley Mansion Club""","""Bannock""","""Liberty Market"""
13306,"""Cartel Coffee Lab""","""Blue Adobe Grille""","""Blaze Fast-Fire'd Pizza""","""Foosia""","""Cibo"""
13307,"""Le Robin Square""","""Wimpy's Paradise""","""Naked Fish's Sushi & Grill""","""Andre's""","""Firefly"""
13308,"""Eiffel Tower""","""Hasaki Grill""","""Angelo's Pizza""","""Umiya Sushi""","""Lucky's Café"""
13309,"""Ramen Hashi""","""Pastel Creperies & Dessert House""","""Spago by Wolfgang Puck""","""Soho Japanese Restaurant""","""L'Atelier de Joël Robuchon"""
13310,"""Cibo""","""Adamson Barbecue""","""John's Incredible Pizza Company""","""Bobby's Burger Palace""","""Blaze Fast-Fire'd Pizza"""
13311,"""DB Brasserie""","""Rolling in Dough Cafe""","""Blaze Fast-Fire'd Pizza""","""Adamson Barbecue""","""Mad House Coffee"""
13312,"""L'Entrecôte Saint-Jean""","""School Restaurant""","""Sunrise House""","""Angelo's Pizza""","""Burrito Boyz"""
13313,"""Other Mama""","""Honey Cakes Cafe""","""Hobak Korean BBQ""","""L'Atelier de Joël Robuchon""","""Pastel Creperies & Dessert House"""
13314,"""Presti's Bakery""","""Angelo's Pizza""","""Chompie's Deli""","""OHSO Brewery - Paradise Valley""","""Barrio"""
13315,"""Babbo Italian Eatery""","""Adamson Barbecue""","""Nee House Chinese Restaurant""","""Le Robin Square""","""Umiya Sushi"""
13316,"""Umiya Sushi""","""Living Kitchen""","""Soho Japanese Restaurant""","""Sammy's Woodfired Pizza and Grill""","""Joyride Taco House"""
13317,"""Island Sushi & Grill""","""Cibo""","""Cartel Coffee Lab""","""Blaze Fast-Fire'd Pizza""","""Foosia"""
13318,"""Barrio Queen""","""Thai Elephant""","""Foosia""","""Cartel Coffee Lab""","""The Herb Box"""
13319,"""Cibo""","""Pita Jungle""","""FnB""","""La Tolteca Mexican Foods""","""Postino Arcadia"""
13320,"""WTPho""","""Garage Wine and Tap""","""Sinatra""","""Soho Japanese Restaurant""","""Spago by Wolfgang Puck"""
13321,"""Adamson Barbecue""","""Musashi Japanese Steakhouse""","""SakeBomber Sushi & Grill""","""Firefly""","""Postino Arcadia"""
